Feature,value_rfe
Z49199,528
D90188,529
H24956,530
R46362,531
H09599,532
H82631,533
R54818,534
T53549,535
H73943,536
H44044,537
M59807,538
M14539,539
T56604,540
D42046,541
U30827,542
X80507,543
M23410,544
R00254,545
T95048,546
R35665,547
M60484,548
Z14978,549
T88902,550
X86693,551
H07899,552
M23115,553
M96839,554
T47778,555
H11650,556
R56630,557
U20659,558
L00354,559
U31215,560
U10324,561
M95678,562
M59819,563
R42837,564
L25941,565
T57483,566
R15814,567
R20804,568
D13665,569
U05012,570
X57348,571
H29170,572
K03474_,573
M24470,574
T64012,575
R42070,576
H69834,577
M90684,578
M64231,579
R59097,580
X57019,581
L36844,582
R45529,583
R37428,584
T54767,585
D00265,586
H05893,587
H65182,588
R80400,589
R54097,590
L26050_,591
X78706,592
M13686,593
K02566_,594
L41559,595
R49565,596
D10522_,597
R27813,598
L33930,599
R01221,600
R38736,601
M37984_,602
X85786,603
T40645,604
U27699_,605
T49732,606
D00860,607
M94630,608
L32977,609
L34774,610
M18216,611
J05158,612
H15662,613
J04182,614
R51644,615
H24401,616
L34840,617
M33680,618
H82100,619
R09400,620
T40637,621
R83285,622
H04654,623
R10707,624
U30498,625
T48014,626
Z15115,627
T69425,628
R89067,629
R46753,630
M29550,631
T51499,632
D17532,633
U07664,634
H23098,635
M28128,636
D15049,637
M64098,638
J04977,639
X51521,640
R38758,641
X65488,642
H89481,643
R16077,644
T84049,645
R42501,646
H45526_,647
L42110,648
D55673,649
M75126,650
M87772,651
T58756,652
M13560,653
M21984,654
D26067,655
D23672,656
T50500,657
T50077,658
M34175__,659
D14812,660
X07948,661
T98803,662
M35878,663
U01691,664
H69695,665
U37673,666
D26069,667
J04794,668
T67433,669
T51571,670
D10523,671
H51015,672
R99200,673
H59599,674
R85479,675
M63509,676
X17042__,677
M31627,678
D26068,679
H17897,680
L19067,681
T56011,682
R09468,683
D31883_,684
X54101,685
M80461,686
R41673,687
H27921,688
H56077,689
R72374,690
L13977,691
R15447,692
M68520,693
Y00414,694
D31887_,695
T89422,696
J02854,697
R49964,698
R49542,699
T71643,700
R48303,701
T99478,702
R78950,703
R70939,704
M31606,705
T53412,706
X66365,707
D16431,708
L20859,709
R73660,710
M28882,711
H28711,712
X12548,713
H77597,714
R64115,715
M97370,716
R11485,717
J03075,718
H45526__,719
H01418,720
X61118,721
R94588,722
R83354,723
R44863,724
R83923,725
R21427,726
R40446,727
Z19002,728
R72644,729
L06895,730
X86809,731
T73092,732
U26312,733
R52000,734
U04641,735
R10620,736
M14676,737
H27771,738
Z29505,739
X68148,740
M38690,741
H67764,742
D13243,743
H89087,744
M59040,745
Y00970,746
Z26317,747
X04828,748
R56399,749
L19437,750
R39599,751
M28129,752
H42127,753
H11324,754
H10925,755
T51250,756
H70635,757
X12671,758
H77536,759
Z48541,760
T53360,761
H65223,762
U18422,763
H82719,764
M77698,765
H04461,766
M32313,767
T60318,768
M77477,769
