Feature,value_embed
Jitter->F0_TKEO_prc25,0.0917165502905845642
det_TKEO_std_6_coef,0.0724677592515945435
det_TKEO_mean_5_coef,0.0536686517298221588
entropy_log_4_coef,0.0471859797835350037
entropy_shannon_5_coef,0.0454922877252101898
DFA,0.0417669229209423065
VFER->SNR_TKEO1,0.0398434996604919434
Jitter->F0_abs_dif,0.0359523221850395203
Jitter->F0_TKEO_prc5,0.0350570455193519592
Jitter->pitch_percent,0.0342846512794494629
Jitter->F0range_5_95_perc,0.0317956134676933289
det_TKEO_std_9_coef,0.0315587855875492096
Jitter->pitch_PQ5_classical_Schoentgen,0.0274913087487220764
MFCC_2nd coef,0.0273705497384071350
Jitter->F0_dif_percent,0.0232569500803947449
det_TKEO_std_10_coef,0.0201016068458557129
MFCC_1st coef,0.0182990022003650665
F0_series_F0_expTitze,0.0159706827253103256
IMF->NSR_entropy,0.0152328452095389366
entropy_log4_4_coef,0.0137017508968710899
MFCC_3rd coef,0.0131462654098868370
Log energy,0.0130698615685105324
MFCC_0th coef,0.0127182239666581154
delta delta 0th,0.0124562140554189682
VFER->SNR_SEO,0.0121587235480546951
Shimmer->Ampl_abs0th_perturb,0.0115244165062904358
det_TKEO_mean_8_coef,0.0113670118153095245
entropy_log_2_coef,0.0110432310029864311
entropy_shannon_8_coef,0.0108183538541197777
HNR->HNR_dB_Praat_std,0.0107969325035810471
GNE->NSR_SEO,0.0092765968292951584
2nd delta-delta,0.0091283926740288734
VFER->SNR_TKEO,0.0080224592238664627
9th delta-delta,0.0069867796264588833
entropy_shannon2_8_coef,0.0069611347280442715
det_TKEO_std3_1_coef,0.0065259002149105072
GNE->std,0.0064719142392277718
MFCC_4th coef,0.0063132680952548981
IMF->NSR_SEO,0.0062159164808690548
1st delta,0.0061374157667160034
det_TKEO_std_1_coef,0.0060068736784160137
entropy_log3_9_coef,0.0058272336609661579
12th delta-delta,0.0058156698942184448
MFCC_8th coef,0.0052239894866943359
2nd delta,0.0050462083891034126
0th delta,0.0049683013930916786
Ed_2_coef,0.0048924195580184460
Shimmer->Ampl_TKEO_prc75,0.0046708392910659313
Jitter->F0_TKEO_mean,0.0045176311396062374
3rd delta,0.0045100883580744267
entropy_log3_10_coef,0.0039877188391983509
7th delta-delta,0.0039305547252297401
MFCC_12th coef,0.0038852973375469446
Jitter->F0_FM,0.0038330690003931522
