,index,Feature,value_MI
116,198,entropy_log2_10_coef,0.0665105560910026483
117,268,det_TKEO_std3_9_coef,0.0664373636130286549
118,291,det_TKEO_mean4_2_coef,0.0661893307347629634
119,281,entropy_log4_2_coef,0.0659573064306100409
120,305,det_TKEO_std4_6_coef,0.0644889367724643670
121,8,Jitter->F0_TKEO_std,0.0644029524953035892
122,145,entropy_shannon_7_coef,0.0639421112200460051
123,76,IMF->SNR_SEO,0.0636409288801276229
124,39,Shimmer->Ampl_PQ11_classical_Baken,0.0622624824920978703
125,105,8th delta,0.0607931327734487770
126,220,Ed2_1_coef,0.0602085375413892177
127,275,entropy_shannon4_6_coef,0.0599809998240510289
128,183,entropy_shannon2_5_coef,0.0597355299707380549
129,211,det_TKEO_std2_3_coef,0.0593609386682756313
130,226,Ed2_7_coef,0.0593548020191811965
131,172,det_TKEO_std_4_coef,0.0588863252666143033
132,51,HNR->HNR_dB_Praat_mean,0.0588497941945311798
133,264,det_TKEO_std3_5_coef,0.0587987620625167740
134,138,Ed_10_coef,0.0584359983821847173
135,58,RPDE,0.0584358968202745022
136,50,Shimmer->Ampl_AM,0.0583332505922682376
137,103,6th delta,0.0582529062706218514
138,97,0th delta,0.0580177964021739712
139,257,det_TKEO_mean3_8_coef,0.0575606720401147243
140,136,Ed_8_coef,0.0566861206497348835
141,216,det_TKEO_std2_8_coef,0.0551764018646916377
142,95,MFCC_12th coef,0.0546421572726278892
143,43,Shimmer->Ampl_CV,0.0545047672588927501
144,208,det_TKEO_mean2_10_coef,0.0543250354180868644
145,118,7th delta-delta,0.0534610823603500762
146,205,det_TKEO_mean2_7_coef,0.0534229084445312363
147,109,12th delta,0.0528795924544458451
148,180,entropy_shannon2_2_coef,0.0526886820508742915
149,41,Shimmer->Ampl_abs0th_perturb,0.0523415500870811901
150,187,entropy_shannon2_9_coef,0.0519049364947810066
151,254,det_TKEO_mean3_5_coef,0.0511944671070316826
152,120,9th delta-delta,0.0503947246813578609
153,137,Ed_9_coef,0.0494312765778248675
154,215,det_TKEO_std2_7_coef,0.0482518317258355811
155,200,det_TKEO_mean2_2_coef,0.0481909578554378104
156,122,11th delta-delta,0.0475523391755121594
157,37,Shimmer->Ampl_PQ5_generalised_Schoentgen,0.0459732629310605212
158,34,Shimmer->Ampl_PQ3_generalised_Schoentgen,0.0459732629310605212
159,40,Shimmer->Ampl_PQ11_generalised_Schoentgen,0.0459732629310605212
160,142,entropy_shannon_4_coef,0.0447781399483375697
161,270,entropy_shannon4_1_coef,0.0446979881474820484
162,214,det_TKEO_std2_6_coef,0.0445510043345316298
163,250,det_TKEO_mean3_1_coef,0.0443996354625839640
164,213,det_TKEO_std2_5_coef,0.0442039527970041757
165,263,det_TKEO_std3_4_coef,0.0440479745808020073
166,266,det_TKEO_std3_7_coef,0.0439582685028994113
167,244,entropy_log3_5_coef,0.0435457306460185212
168,91,MFCC_8th coef,0.0435312774117480039
169,130,Ed_2_coef,0.0433664832739699690
170,295,det_TKEO_mean4_6_coef,0.0429970908758565695
171,4,Jitter->F0_PQ5_generalised_Schoentgen,0.0427755204822015678
172,201,det_TKEO_mean2_3_coef,0.0424858704591739578
173,206,det_TKEO_mean2_8_coef,0.0420751072157778960
174,189,entropy_log2_1_coef,0.0416905458543250784
175,188,entropy_shannon2_10_coef,0.0404646421284220459
176,113,2nd delta-delta,0.0404323858065449571
177,52,HNR->HNR_dB_Praat_std,0.0403238608737790383
178,87,MFCC_4th coef,0.0400835811465296565
179,38,Shimmer->Ampl_PQ11_classical_Schoentgen,0.0398499996279342295
180,304,det_TKEO_std4_5_coef,0.0397534062829658641
181,253,det_TKEO_mean3_4_coef,0.0391103234819756285
182,62,GNE->std,0.0388501743716964665
183,274,entropy_shannon4_5_coef,0.0380572303162483028
184,209,det_TKEO_std2_1_coef,0.0378809746287875893
185,286,entropy_log4_7_coef,0.0377861091767794921
186,207,det_TKEO_mean2_9_coef,0.0372302474899657287
187,175,det_TKEO_std_7_coef,0.0371784126859284747
188,147,entropy_shannon_9_coef,0.0367777190247651209
189,217,det_TKEO_std2_9_coef,0.0365084846848693356
190,181,entropy_shannon2_3_coef,0.0364693194029399592
191,296,det_TKEO_mean4_7_coef,0.0363924154219750218
192,297,det_TKEO_mean4_8_coef,0.0362689057746554688
193,260,det_TKEO_std3_1_coef,0.0360292250088407595
194,100,3rd delta,0.0359856430850062914
195,73,VFER->NSR_TKEO1,0.0358823810334354398
196,294,det_TKEO_mean4_5_coef,0.0357251080086353756
197,284,entropy_log4_5_coef,0.0354623604594734854
198,302,det_TKEO_std4_3_coef,0.0350253741739812163
199,290,det_TKEO_mean4_1_coef,0.0349750203537857463
200,90,MFCC_7th coef,0.0347645362791657586
201,106,9th delta,0.0344479257338583533
202,65,GNE->NSR_TKEO,0.0341464516974956389
203,273,entropy_shannon4_4_coef,0.0338677469600980885
204,237,entropy_shannon3_8_coef,0.0335568795291303346
205,121,10th delta-delta,0.0326875869591087831
206,190,entropy_log2_2_coef,0.0324066639513960197
207,77,IMF->SNR_TKEO,0.0306871199284193263
208,303,det_TKEO_std4_4_coef,0.0304850878876630205
209,218,det_TKEO_std2_10_coef,0.0300841528438708927
