Feature,value_rfe
det_TKEO_mean3_6_coef,207
delta delta log energy,208
delta delta 0th,209
det_TKEO_mean3_7_coef,210
det_TKEO_mean3_8_coef,211
det_TKEO_mean3_9_coef,212
det_TKEO_mean3_10_coef,213
det_TKEO_std3_1_coef,214
det_TKEO_std3_2_coef,215
Jitter->F0_PQ5_generalised_Schoentgen,216
Jitter->F0_PQ5_classical_Baken,217
Jitter->F0_PQ5_classical_Schoentgen,218
MFCC_4th coef,219
2nd delta-delta,220
Jitter->F0_dif_percent,221
1st delta delta,222
entropy_shannon3_4_coef,223
entropy_shannon3_3_coef,224
det_TKEO_std3_3_coef,225
3rd delta-delta,226
det_TKEO_std3_4_coef,227
4th delta-delta,228
det_TKEO_std3_5_coef,229
5th delta-delta,230
det_TKEO_std3_6_coef,231
12th delta,232
det_TKEO_std3_7_coef,233
6th delta-delta,234
det_TKEO_std2_1_coef,235
det_TKEO_std2_2_coef,236
Jitter->F0_abs_dif,237
7th delta-delta,238
det_TKEO_std3_8_coef,239
8th delta-delta,240
det_TKEO_std3_9_coef,241
det_TKEO_std3_10_coef,242
entropy_shannon4_1_coef,243
entropy_shannon4_2_coef,244
entropy_shannon4_3_coef,245
11th delta-delta,246
entropy_shannon4_4_coef,247
entropy_shannon4_5_coef,248
entropy_shannon4_6_coef,249
entropy_shannon4_7_coef,250
entropy_shannon4_8_coef,251
entropy_shannon4_9_coef,252
entropy_shannon4_10_coef,253
entropy_log4_1_coef,254
entropy_log4_2_coef,255
Data_length,256
entropy_log4_3_coef,257
Ea,258
entropy_log4_4_coef,259
Ed_1_coef,260
Ed_9_coef,261
Ed_2_coef,262
Ed_8_coef,263
Ed_3_coef,264
Ed_5_coef,265
Ed_4_coef,266
entropy_log4_5_coef,267
entropy_log4_6_coef,268
Ed_7_coef,269
Ed_6_coef,270
entropy_log4_7_coef,271
entropy_log4_8_coef,272
entropy_log4_9_coef,273
entropy_log4_10_coef,274
det_TKEO_mean4_1_coef,275
det_TKEO_mean4_2_coef,276
det_TKEO_mean4_3_coef,277
Ed_10_coef,278
det_TKEO_mean4_4_coef,279
entropy_shannon_1_coef,280
det_TKEO_mean4_5_coef,281
entropy_shannon_2_coef,282
det_TKEO_mean4_6_coef,283
entropy_shannon_3_coef,284
det_TKEO_mean4_7_coef,285
entropy_shannon_4_coef,286
det_TKEO_mean4_8_coef,287
det_TKEO_mean4_9_coef,288
det_TKEO_mean4_10_coef,289
entropy_shannon_6_coef,290
entropy_shannon_8_coef,291
entropy_shannon_7_coef,292
det_TKEO_std4_1_coef,293
det_TKEO_std4_2_coef,294
det_TKEO_std4_3_coef,295
entropy_shannon_9_coef,296
det_TKEO_std4_4_coef,297
entropy_shannon_10_coef,298
det_TKEO_std4_5_coef,299
entropy_log_1_coef,300
det_TKEO_std4_6_coef,301
det_TKEO_std4_7_coef,302
det_TKEO_std4_8_coef,303
entropy_log_3_coef,304
det_TKEO_std4_9_coef,305
det_TKEO_std4_10_coef,306
entropy_log_8_coef,307
entropy_log_5_coef,308
entropy_log_7_coef,309
entropy_log_6_coef,310
Age,311
Gender,312
