Feature,value_rfe
det_LT_TKEO_std_1_coef,196
std_10th_delta_delta,197
tqwt_meanValue_dec_17,198
tqwt_TKEO_mean_dec_32,199
tqwt_kurtosisValue_dec_4,200
tqwt_kurtosisValue_dec_2,201
tqwt_entropy_log_dec_23,202
tqwt_energy_dec_15,203
f3,204
tqwt_entropy_shannon_dec_21,205
tqwt_meanValue_dec_15,206
tqwt_TKEO_std_dec_3,207
tqwt_TKEO_std_dec_14,208
meanIntensity,209
apq5Shimmer,210
RPDE,211
tqwt_meanValue_dec_11,212
tqwt_energy_dec_11,213
tqwt_entropy_shannon_dec_30,214
tqwt_medianValue_dec_31,215
std_8th_delta,216
VFER_entropy,217
GNE_NSR_TKEO,218
tqwt_energy_dec_13,219
GQ_prc5_95,220
mean_10th_delta,221
det_LT_TKEO_mean_5_coef,222
tqwt_meanValue_dec_29,223
tqwt_meanValue_dec_2,224
std_3rd_delta_delta,225
det_LT_entropy_log_6_coef,226
tqwt_energy_dec_17,227
tqwt_TKEO_mean_dec_36,228
tqwt_entropy_shannon_dec_16,229
PPE,230
mean_7th_delta_delta,231
mean_11th_delta,232
mean_delta_log_energy,233
tqwt_kurtosisValue_dec_26,234
tqwt_maxValue_dec_18,235
tqwt_medianValue_dec_8,236
tqwt_meanValue_dec_16,237
meanNoiseToHarmHarmonicity,238
tqwt_medianValue_dec_34,239
minIntensity,240
det_entropy_log_3_coef,241
det_entropy_shannon_9_coef,242
mean_3rd_delta,243
tqwt_energy_dec_30,244
IMF_SNR_TKEO,245
tqwt_meanValue_dec_23,246
tqwt_meanValue_dec_33,247
tqwt_skewnessValue_dec_25,248
rapJitter,249
tqwt_energy_dec_31,250
tqwt_kurtosisValue_dec_20,251
tqwt_skewnessValue_dec_4,252
tqwt_maxValue_dec_6,253
tqwt_meanValue_dec_22,254
app_LT_TKEO_std_1_coef,255
apq11Shimmer,256
VFER_NSR_SEO,257
tqwt_stdValue_dec_13,258
std_1st_delta,259
tqwt_maxValue_dec_22,260
Ed_1_coef,261
tqwt_meanValue_dec_1,262
tqwt_meanValue_dec_5,263
b4,264
tqwt_TKEO_std_dec_21,265
tqwt_skewnessValue_dec_6,266
tqwt_entropy_shannon_dec_27,267
tqwt_meanValue_dec_28,268
