Feature,value_SHAP
std_delta_delta_log_energy,0.4071000218391418457
std_6th_delta_delta,0.2793149054050445557
std_7th_delta_delta,0.2317331433296203613
tqwt_entropy_log_dec_33,0.2028456181287765503
mean_MFCC_6th_coef,0.1673111021518707275
tqwt_entropy_log_dec_27,0.1529021114110946655
std_6th_delta,0.1228891313076019287
tqwt_medianValue_dec_1,0.1132309809327125549
tqwt_entropy_log_dec_1,0.1082296594977378845
tqwt_TKEO_mean_dec_12,0.1059139668941497803
tqwt_entropy_shannon_dec_25,0.1041528880596160889
std_4th_delta_delta,0.1000906750559806824
mean_MFCC_1st_coef,0.0999653339385986328
tqwt_TKEO_std_dec_19,0.0869580358266830444
std_9th_delta_delta,0.0862134397029876709
tqwt_kurtosisValue_dec_33,0.0829233676195144653
std_8th_delta,0.0815620198845863342
std_11th_delta_delta,0.0809076279401779175
std_9th_delta,0.0783426836133003235
tqwt_medianValue_dec_16,0.0775335282087326050
tqwt_skewnessValue_dec_23,0.0733437687158584595
tqwt_energy_dec_19,0.0723887309432029724
tqwt_entropy_log_dec_32,0.0687130019068717957
tqwt_medianValue_dec_10,0.0684627369046211243
app_LT_TKEO_mean_1_coef,0.0662854090332984924
tqwt_energy_dec_12,0.0652986168861389160
tqwt_kurtosisValue_dec_17,0.0648885145783424377
tqwt_minValue_dec_17,0.0647299364209175110
std_8th_delta_delta,0.0641118735074996948
std_7th_delta,0.0633677244186401367
mean_5th_delta,0.0633372589945793152
tqwt_entropy_log_dec_25,0.0624716505408287048
tqwt_energy_dec_6,0.0608535706996917725
DFA,0.0605739057064056396
tqwt_medianValue_dec_13,0.0589164718985557556
tqwt_skewnessValue_dec_28,0.0563102401793003082
tqwt_kurtosisValue_dec_10,0.0559638179838657379
tqwt_meanValue_dec_5,0.0547260418534278870
tqwt_entropy_log_dec_12,0.0535477772355079651
tqwt_entropy_log_dec_35,0.0527467280626296997
tqwt_energy_dec_21,0.0521114990115165710
mean_2nd_delta,0.0508358255028724670
tqwt_minValue_dec_29,0.0506315641105175018
mean_7th_delta_delta,0.0499155670404434204
tqwt_stdValue_dec_11,0.0494453534483909607
tqwt_medianValue_dec_36,0.0489886850118637085
std_10th_delta,0.0489319898188114166
tqwt_TKEO_std_dec_25,0.0481201857328414917
tqwt_kurtosisValue_dec_25,0.0480150990188121796
tqwt_meanValue_dec_17,0.0472848899662494659
tqwt_kurtosisValue_dec_24,0.0460974387824535370
std_MFCC_4th_coef,0.0458249449729919434
f1,0.0455808378756046295
tqwt_energy_dec_7,0.0447627976536750793
tqwt_skewnessValue_dec_12,0.0440917462110519409
std_delta_log_energy,0.0440528020262718201
IMF_NSR_TKEO,0.0428101718425750732
mean_MFCC_5th_coef,0.0419904813170433044
tqwt_energy_dec_3,0.0412991419434547424
tqwt_energy_dec_27,0.0412884317338466644
tqwt_TKEO_std_dec_11,0.0402496159076690674
tqwt_kurtosisValue_dec_5,0.0401320606470108032
tqwt_minValue_dec_21,0.0397091954946517944
tqwt_stdValue_dec_12,0.0395044051110744476
tqwt_kurtosisValue_dec_28,0.0390187688171863556
tqwt_skewnessValue_dec_25,0.0375431738793849945
tqwt_skewnessValue_dec_10,0.0370759144425392151
mean_delta_delta_log_energy,0.0363804586231708527
mean_MFCC_2nd_coef,0.0363387912511825562
maxIntensity,0.0360396429896354675
tqwt_kurtosisValue_dec_4,0.0356613956391811371
tqwt_kurtosisValue_dec_18,0.0353469215333461761
tqwt_kurtosisValue_dec_23,0.0351235680282115936
tqwt_energy_dec_11,0.0349242687225341797
std_MFCC_5th_coef,0.0345209538936614990
tqwt_minValue_dec_11,0.0343655347824096680
det_LT_entropy_log_1_coef,0.0339278057217597961
tqwt_meanValue_dec_19,0.0336957573890686035
tqwt_maxValue_dec_6,0.0336051136255264282
tqwt_TKEO_std_dec_20,0.0333187431097030640
tqwt_entropy_log_dec_16,0.0331447422504425049
mean_MFCC_8th_coef,0.0327810496091842651
tqwt_kurtosisValue_dec_35,0.0310156010091304779
app_det_TKEO_mean_5_coef,0.0308611933141946793
tqwt_meanValue_dec_28,0.0305512901395559311
mean_delta_log_energy,0.0302241109311580658
app_entropy_shannon_1_coef,0.0302047468721866608
mean_1st_delta_delta,0.0296876877546310425
GNE_NSR_SEO,0.0294650830328464508
mean_11th_delta_delta,0.0292416326701641083
std_4th_delta,0.0291896443814039230
numPulses,0.0290313251316547394
tqwt_TKEO_mean_dec_25,0.0288188569247722626
tqwt_medianValue_dec_7,0.0284309759736061096
tqwt_TKEO_mean_dec_17,0.0281326640397310257
tqwt_kurtosisValue_dec_20,0.0281114224344491959
b1,0.0279617477208375931
tqwt_kurtosisValue_dec_21,0.0279065053910017014
mean_12th_delta_delta,0.0275952517986297607
tqwt_skewnessValue_dec_33,0.0275866743177175522
std_11th_delta,0.0275789815932512283
tqwt_skewnessValue_dec_26,0.0270973406732082367
std_12th_delta,0.0268236435949802399
tqwt_medianValue_dec_30,0.0266991183161735535
tqwt_maxValue_dec_20,0.0265453457832336426
tqwt_TKEO_std_dec_12,0.0262047834694385529
mean_MFCC_7th_coef,0.0261042788624763489
IMF_SNR_SEO,0.0260239280760288239
mean_10th_delta_delta,0.0256188586354255676
tqwt_TKEO_mean_dec_21,0.0255078710615634918
tqwt_skewnessValue_dec_3,0.0240574218332767487
tqwt_energy_dec_25,0.0238179676234722137
tqwt_skewnessValue_dec_8,0.0233915243297815323
tqwt_maxValue_dec_11,0.0230000000447034836
tqwt_meanValue_dec_31,0.0227569118142127991
