Feature,value_embed
locAbsJitter,0.0021485232282429934
tqwt_medianValue_dec_35,0.0021370039321482182
tqwt_skewnessValue_dec_28,0.0021353440824896097
mean_1st_delta_delta,0.0021068735513836145
tqwt_TKEO_std_dec_32,0.0020877434872090816
tqwt_skewnessValue_dec_23,0.0020741948392242193
tqwt_meanValue_dec_5,0.0020628708880394697
tqwt_kurtosisValue_dec_28,0.0020554792135953903
std_6th_delta_delta,0.0020201946608722210
tqwt_energy_dec_30,0.0020185029134154320
Ed2_2_coef,0.0020121838897466660
det_LT_entropy_shannon_6_coef,0.0020111349876970053
meanIntensity,0.0019702836871147156
tqwt_kurtosisValue_dec_30,0.0019449915271252394
tqwt_meanValue_dec_2,0.0019415480783209205
tqwt_meanValue_dec_18,0.0019414129201322794
tqwt_energy_dec_9,0.0019280316773802042
tqwt_skewnessValue_dec_8,0.0019274264341220260
tqwt_skewnessValue_dec_14,0.0019136840710416436
tqwt_maxValue_dec_18,0.0018997937440872192
tqwt_meanValue_dec_15,0.0018959022127091885
std_9th_delta_delta,0.0018956639105454087
det_LT_TKEO_std_9_coef,0.0018835295923054218
det_LT_entropy_log_8_coef,0.0018599705072119832
apq3Shimmer,0.0018405932933092117
tqwt_skewnessValue_dec_3,0.0018063765019178391
tqwt_kurtosisValue_dec_32,0.0018058259738609195
tqwt_medianValue_dec_18,0.0017978019313886762
tqwt_medianValue_dec_27,0.0017886590212583542
meanNoiseToHarmHarmonicity,0.0017499696696177125
std_4th_delta,0.0017363097285851836
mean_8th_delta_delta,0.0016960814828053117
std_3rd_delta_delta,0.0016910090344026685
std_12th_delta,0.0016693127108737826
std_MFCC_12th_coef,0.0016679414547979832
std_1st_delta,0.0016616827342659235
tqwt_minValue_dec_21,0.0016539945499971509
tqwt_skewnessValue_dec_29,0.0016245809383690357
tqwt_medianValue_dec_30,0.0016228042077273130
tqwt_entropy_shannon_dec_18,0.0015917969867587090
std_11th_delta_delta,0.0015842018183320761
tqwt_TKEO_std_dec_20,0.0015778287779539824
GNE_std,0.0015589174581691623
tqwt_TKEO_mean_dec_27,0.0015564427012577653
b2,0.0015264877583831549
maxIntensity,0.0015023676678538322
tqwt_kurtosisValue_dec_21,0.0014947912422940135
tqwt_medianValue_dec_20,0.0014929198659956455
IMF_SNR_TKEO,0.0014925330178812146
mean_9th_delta,0.0014910087920725346
tqwt_kurtosisValue_dec_18,0.0014776851749047637
tqwt_TKEO_mean_dec_28,0.0014582029543817043
tqwt_medianValue_dec_10,0.0014498768141493201
tqwt_energy_dec_31,0.0014486785512417555
tqwt_medianValue_dec_26,0.0014272690750658512
std_MFCC_2nd_coef,0.0014242022298276424
mean_5th_delta,0.0014031078899279237
tqwt_meanValue_dec_10,0.0013952823355793953
tqwt_skewnessValue_dec_4,0.0013926835963502526
tqwt_TKEO_std_dec_3,0.0013816037680953741
tqwt_skewnessValue_dec_26,0.0013737881090492010
tqwt_minValue_dec_12,0.0013647138839587569
GNE_mean,0.0013521496439352632
tqwt_meanValue_dec_36,0.0013325511245056987
app_LT_TKEO_mean_3_coef,0.0013314668321982026
tqwt_energy_dec_35,0.0013283714652061462
tqwt_meanValue_dec_23,0.0013270253548398614
tqwt_kurtosisValue_dec_10,0.0013252381468191743
tqwt_TKEO_std_dec_14,0.0013230706099420786
det_LT_entropy_log_6_coef,0.0013006362132728100
tqwt_medianValue_dec_1,0.0012970566749572754
std_delta_log_energy,0.0012963366461917758
numPeriodsPulses,0.0012943742331117392
Ed_1_coef,0.0012900681467726827
tqwt_entropy_shannon_dec_30,0.0012898020213469863
mean_1st_delta,0.0012897182023152709
tqwt_skewnessValue_dec_27,0.0012788478052243590
tqwt_kurtosisValue_dec_2,0.0012713335454463959
tqwt_kurtosisValue_dec_33,0.0012696002377197146
tqwt_kurtosisValue_dec_26,0.0012689117575064301
GQ_prc5_95,0.0012672238517552614
tqwt_medianValue_dec_31,0.0012577681336551905
tqwt_kurtosisValue_dec_17,0.0012504996266216040
mean_MFCC_10th_coef,0.0012504321057349443
det_LT_entropy_shannon_4_coef,0.0012462835293263197
tqwt_kurtosisValue_dec_25,0.0012421794235706329
tqwt_medianValue_dec_34,0.0012413398362696171
tqwt_TKEO_mean_dec_8,0.0012319296365603805
tqwt_TKEO_mean_dec_36,0.0012209938140586019
std_MFCC_1st_coef,0.0011891430476680398
numPulses,0.0011870899470523000
tqwt_skewnessValue_dec_24,0.0011785745155066252
tqwt_medianValue_dec_8,0.0011776898754760623
tqwt_energy_dec_20,0.0011660909513011575
f2,0.0011638187570497394
std_4th_delta_delta,0.0011577210389077663
tqwt_minValue_dec_35,0.0011533219367265701
det_TKEO_std_8_coef,0.0011499442625790834
tqwt_entropy_shannon_dec_11,0.0011374232126399875
tqwt_energy_dec_8,0.0011309309629723430
b3,0.0011297948658466339
tqwt_meanValue_dec_25,0.0011243154294788837
tqwt_medianValue_dec_13,0.0011213152902200818
tqwt_medianValue_dec_19,0.0011193016543984413
tqwt_stdValue_dec_15,0.0011151365470141172
tqwt_meanValue_dec_19,0.0011099346447736025
tqwt_skewnessValue_dec_25,0.0011058854870498180
mean_10th_delta_delta,0.0011008920846506953
mean_MFCC_12th_coef,0.0010856462176889181
tqwt_meanValue_dec_21,0.0010817116126418114
tqwt_entropy_shannon_dec_3,0.0010803075274452567
det_entropy_log_3_coef,0.0010745658073574305
tqwt_meanValue_dec_16,0.0010535774054005742
tqwt_energy_dec_11,0.0010505962418392301
tqwt_TKEO_std_dec_34,0.0010192802874371409
rapJitter,0.0010109760332852602
tqwt_maxValue_dec_10,0.0010036285966634750
std_8th_delta_delta,0.0009871523361653090
tqwt_skewnessValue_dec_7,0.0009864481398835778
mean_12th_delta,0.0009854955133050680
tqwt_meanValue_dec_31,0.0009839087724685669
mean_delta_log_energy,0.0009822536958381534
mean_10th_delta,0.0009774240897968411
tqwt_minValue_dec_29,0.0009688464924693108
mean_MFCC_2nd_coef,0.0009669836144894361
tqwt_skewnessValue_dec_31,0.0009655032190494239
f1,0.0009625435341149569
tqwt_entropy_log_dec_7,0.0009595855954103172
stdDevPeriodPulses,0.0009584223735146224
tqwt_meanValue_dec_13,0.0009499730076640844
mean_3rd_delta,0.0009471631492488086
tqwt_meanValue_dec_9,0.0009363159188069403
mean_8th_delta,0.0009209459531120956
mean_delta_delta_log_energy,0.0009187169489450753
app_LT_TKEO_std_5_coef,0.0009147247765213251
tqwt_medianValue_dec_4,0.0009138529421761632
meanPeriodPulses,0.0009056074195541441
tqwt_entropy_shannon_dec_32,0.0009000656427815557
tqwt_maxValue_dec_31,0.0008992404327727854
DFA,0.0008976880344562232
det_entropy_shannon_5_coef,0.0008909972384572029
det_LT_entropy_log_2_coef,0.0008830768056213856
tqwt_energy_dec_17,0.0008781054057180882
tqwt_skewnessValue_dec_12,0.0008665898349136114
tqwt_meanValue_dec_28,0.0008658331935293972
app_entropy_log_1_coef,0.0008621841552667320
GNE_SNR_SEO,0.0008570671197958291
app_TKEO_std_6_coef,0.0008470947504974902
tqwt_medianValue_dec_15,0.0008456179057247937
tqwt_skewnessValue_dec_33,0.0008445655694231391
det_TKEO_mean_6_coef,0.0008433733019046485
tqwt_energy_dec_26,0.0008388641872443259
tqwt_skewnessValue_dec_11,0.0008345473906956613
det_LT_TKEO_std_1_coef,0.0008290060795843601
IMF_SNR_SEO,0.0008284756913781166
tqwt_kurtosisValue_dec_20,0.0008128277841024101
tqwt_TKEO_std_dec_31,0.0008078552200458944
mean_12th_delta_delta,0.0008018455118872225
tqwt_meanValue_dec_22,0.0007984960102476180
IMF_NSR_TKEO,0.0007936603506095707
tqwt_minValue_dec_17,0.0007927468977868557
tqwt_medianValue_dec_11,0.0007886110688559711
tqwt_meanValue_dec_33,0.0007826886721886694
mean_MFCC_8th_coef,0.0007803192711435258
tqwt_meanValue_dec_3,0.0007746837800368667
std_MFCC_7th_coef,0.0007738738786429167
tqwt_skewnessValue_dec_35,0.0007711541256867349
tqwt_meanValue_dec_1,0.0007707083132117987
tqwt_entropy_log_dec_1,0.0007649158942513168
tqwt_TKEO_std_dec_18,0.0007536264602094889
tqwt_energy_dec_7,0.0007501768413931131
std_MFCC_5th_coef,0.0007447497919201851
tqwt_energy_dec_36,0.0007416653097607195
tqwt_meanValue_dec_17,0.0007394902058877051
tqwt_energy_dec_13,0.0007345228223130107
tqwt_TKEO_std_dec_26,0.0007332332897931337
tqwt_medianValue_dec_7,0.0007326838676817715
tqwt_TKEO_mean_dec_21,0.0007017243187874556
std_8th_delta,0.0006892812089063227
det_LT_entropy_log_7_coef,0.0006819234695285559
tqwt_kurtosisValue_dec_12,0.0006809220649302006
app_TKEO_std_1_coef,0.0006800738046877086
std_10th_delta_delta,0.0006764793070033193
tqwt_meanValue_dec_29,0.0006756406510248780
b4,0.0006749552558176219
tqwt_skewnessValue_dec_6,0.0006731649045832455
tqwt_TKEO_std_dec_21,0.0006725666462443769
tqwt_skewnessValue_dec_20,0.0006703495164401829
apq11Shimmer,0.0006595190498046577
Ed_6_coef,0.0006593694561161101
tqwt_kurtosisValue_dec_4,0.0006559101166203618
tqwt_kurtosisValue_dec_27,0.0006549970712512732
tqwt_meanValue_dec_32,0.0006538641173392534
std_MFCC_9th_coef,0.0006528867525048554
mean_11th_delta,0.0006514088017866015
std_MFCC_6th_coef,0.0006485182093456388
tqwt_kurtosisValue_dec_19,0.0006473849643953145
tqwt_meanValue_dec_11,0.0006382116698659956
tqwt_entropy_shannon_dec_27,0.0006271391757763922
RPDE,0.0006192626315169036
minIntensity,0.0006186107639223337
std_3rd_delta,0.0006077036377973855
tqwt_maxValue_dec_3,0.0005934741348028183
tqwt_meanValue_dec_4,0.0005881930701434612
tqwt_meanValue_dec_7,0.0005877955700270832
VFER_NSR_SEO,0.0005831863381899893
tqwt_maxValue_dec_33,0.0005762235959991813
f3,0.0005760074127465487
std_Log_energy,0.0005754446028731763
locShimmer,0.0005699109169654548
