Feature,rank_mi,rank_SHAP,rank_embed,value_min,value_med,value_mean,value_harmo
std_MFCC_12th_coef,327,388,163,163,327.0,292.6666666666667,254.87679370309053
std_MFCC_10th_coef,328,405,120,120,328.0,284.3333333333333,216.58695652173913
tqwt_stdValue_dec_9,329,699,745,329,699.0,591.0,516.1369599861823
tqwt_medianValue_dec_7,330,94,305,94,305.0,243.0,177.01945865036797
tqwt_TKEO_mean_dec_19,331,729,711,331,711.0,590.3333333333334,517.2984685801123
tqwt_maxValue_dec_15,332,516,504,332,504.0,450.6666666666667,432.6407440070552
app_TKEO_std_3_coef,333,732,632,333,632.0,565.6666666666666,504.082928680811
det_LT_TKEO_std_2_coef,334,633,733,334,633.0,566.6666666666666,505.2165897115186
tqwt_kurtosisValue_dec_1,335,501,374,335,374.0,403.3333333333333,391.9068926262073
tqwt_entropy_shannon_dec_32,336,397,266,266,336.0,333.0,324.16729908335117
tqwt_skewnessValue_dec_27,337,226,205,205,226.0,256.0,244.4950594278019
tqwt_maxValue_dec_35,338,559,628,338,559.0,508.3333333333333,473.1976635675526
tqwt_energy_dec_30,339,453,138,138,339.0,310.0,241.86263566953127
tqwt_entropy_log_dec_9,340,432,506,340,432.0,426.0,414.8071857000402
tqwt_TKEO_std_dec_31,341,145,285,145,285.0,257.0,224.92338591684177
tqwt_TKEO_std_dec_36,342,715,673,342,673.0,576.6666666666666,516.4878317716142
tqwt_medianValue_dec_21,343,356,60,60,343.0,253.0,133.98176143567738
tqwt_TKEO_std_dec_2,344,716,648,344,648.0,569.3333333333334,513.0981414169124
tqwt_minValue_dec_20,345,180,383,180,345.0,302.6666666666667,271.1233969791964
tqwt_skewnessValue_dec_20,346,352,316,316,346.0,338.0,337.24388363126536
stdDevPeriodPulses,347,288,257,257,288.0,297.3333333333333,292.8224192512475
tqwt_maxValue_dec_19,348,553,543,348,543.0,481.3333333333333,459.87568488177124
std_MFCC_4th_coef,349,52,124,52,124.0,175.0,99.46746817538896
std_MFCC_7th_coef,350,240,294,240,294.0,294.6666666666667,287.7650897226753
tqwt_kurtosisValue_dec_23,351,73,381,73,351.0,268.3333333333333,156.47570885893347
det_entropy_log_10_coef,352,694,712,352,694.0,586.0,527.5814608104829
tqwt_TKEO_mean_dec_5,353,671,550,353,550.0,524.6666666666666,488.49146879683224
Ed_4_coef,354,580,609,354,580.0,514.3333333333334,484.571813890762
tqwt_stdValue_dec_1,355,707,737,355,707.0,599.6666666666666,536.847352998368
tqwt_entropy_log_dec_3,356,595,583,356,583.0,511.3333333333333,483.4867595950685
tqwt_kurtosisValue_dec_20,357,96,284,96,284.0,245.66666666666666,179.22309788613094
det_TKEO_mean_1_coef,358,309,347,309,347.0,338.0,336.6479532026977
tqwt_entropy_log_dec_7,359,452,256,256,359.0,355.6666666666667,336.92136994300915
